file,natoms,formula,pubchem_cid,pubchem_url,status,energy_ev,ae_ev,lmdb_idx
geometries/natoms_83_cid_5532.sdf,83,C33H40N4O6,5532,https://pubchem.ncbi.nlm.nih.gov/compound/5532,ok,-53102.1496875654,-393.63510585464974,53.0
geometries/natoms_84_cid_2695.sdf,84,C29H43N5O7,2695,https://pubchem.ncbi.nlm.nih.gov/compound/2695,ok,-52540.83225023745,-382.55270623035176,54.0
geometries/natoms_85_cid_10170.sdf,85,C37H40N2O6,10170,https://pubchem.ncbi.nlm.nih.gov/compound/10170,ok,-54267.37926119222,-410.8686526794045,55.0
geometries/natoms_86_cid_1211.sdf,86,C37H41N2O6+,1211,https://pubchem.ncbi.nlm.nih.gov/compound/1211,scf_failed,,,
geometries/natoms_87_cid_1210.sdf,87,C37H42N2O6+2,1210,https://pubchem.ncbi.nlm.nih.gov/compound/1210,ok,-54290.32501493818,-406.6398661967469,56.0
geometries/natoms_88_cid_22309.sdf,88,C32H48O8,22309,https://pubchem.ncbi.nlm.nih.gov/compound/22309,ok,-50330.10165410809,-398.3481911901981,57.0
geometries/natoms_89_cid_32243.sdf,89,C31H47NO10,32243,https://pubchem.ncbi.nlm.nih.gov/compound/32243,ok,-54861.591720522985,-403.9675463911699,58.0
geometries/natoms_90_cid_6769.sdf,90,C35H42N2O11,6769,https://pubchem.ncbi.nlm.nih.gov/compound/6769,ok,-62461.02768215002,-426.4108442037541,59.0
geometries/natoms_91_cid_23900.sdf,91,C34H50O7,23900,https://pubchem.ncbi.nlm.nih.gov/compound/23900,ok,-50393.68971633475,-417.7628785426932,60.0
geometries/natoms_92_cid_10088.sdf,92,C35H52O5,10088,https://pubchem.ncbi.nlm.nih.gov/compound/10088,ok,-47368.60988650173,-419.9830376021637,61.0
geometries/natoms_93_cid_2838.sdf,93,C34H49N5O5,2838,https://pubchem.ncbi.nlm.nih.gov/compound/2838,ok,-53731.79262922367,-428.5010624355564,62.0
geometries/natoms_94_cid_32242.sdf,94,C33H49NO11,32242,https://pubchem.ncbi.nlm.nih.gov/compound/32242,ok,-59014.466406687556,-428.70359575638577,63.0
geometries/natoms_95_cid_37710.sdf,95,C33H47N9O6,37710,https://pubchem.ncbi.nlm.nih.gov/compound/37710,ok,-60664.35405016869,-435.81131662220287,64.0
geometries/natoms_96_cid_4319.sdf,96,C38H48N4O6,4319,https://pubchem.ncbi.nlm.nih.gov/compound/4319,ok,-58416.017065372245,-451.35065872666746,65.0
geometries/natoms_97_cid_72178.sdf,97,C35H54O8,72178,https://pubchem.ncbi.nlm.nih.gov/compound/72178,ok,-53537.58628088383,-435.8369988678678,66.0
geometries/natoms_98_cid_33580.sdf,98,C34H62N2+2,33580,https://pubchem.ncbi.nlm.nih.gov/compound/33580,ok,-39229.33634237104,-414.2737755311973,67.0
geometries/natoms_99_cid_6280.sdf,99,C36H51NO11,6280,https://pubchem.ncbi.nlm.nih.gov/compound/6280,ok,-62155.54464757635,-454.13509800434986,68.0
geometries/natoms_100_cid_92999.sdf,100,C35H54O11,92999,https://pubchem.ncbi.nlm.nih.gov/compound/92999,ok,-59678.82222579771,-451.1250508939629,69.0
