file,natoms,formula,pubchem_cid,pubchem_url
geometries/natoms_39_cid_1087.sdf,39,C11H20N2O6,1087,https://pubchem.ncbi.nlm.nih.gov/compound/1087
geometries/natoms_40_cid_1103.sdf,40,C10H26N4,1103,https://pubchem.ncbi.nlm.nih.gov/compound/1103
geometries/natoms_58_cid_1104.sdf,58,C18H37NO2,1104,https://pubchem.ncbi.nlm.nih.gov/compound/1104
geometries/natoms_80_cid_1105.sdf,80,C30H50,1105,https://pubchem.ncbi.nlm.nih.gov/compound/1105
geometries/natoms_55_cid_1129.sdf,55,C19H23N7O6,1129,https://pubchem.ncbi.nlm.nih.gov/compound/1129
geometries/natoms_53_cid_1201.sdf,53,C22H26O5,1201,https://pubchem.ncbi.nlm.nih.gov/compound/1201
geometries/natoms_61_cid_1202.sdf,61,C22H36O3,1202,https://pubchem.ncbi.nlm.nih.gov/compound/1202
geometries/natoms_87_cid_1210.sdf,87,C37H42N2O6+2,1210,https://pubchem.ncbi.nlm.nih.gov/compound/1210
geometries/natoms_86_cid_1211.sdf,86,C37H41N2O6+,1211,https://pubchem.ncbi.nlm.nih.gov/compound/1211
geometries/natoms_43_cid_1219.sdf,43,C16H25NO,1219,https://pubchem.ncbi.nlm.nih.gov/compound/1219
geometries/natoms_43_cid_1220.sdf,43,C16H25NO,1220,https://pubchem.ncbi.nlm.nih.gov/compound/1220
geometries/natoms_52_cid_1223.sdf,52,C20H29NO2,1223,https://pubchem.ncbi.nlm.nih.gov/compound/1223
geometries/natoms_58_cid_1224.sdf,58,C25H31NO,1224,https://pubchem.ncbi.nlm.nih.gov/compound/1224
geometries/natoms_75_cid_1234.sdf,75,C28H40N2O5,1234,https://pubchem.ncbi.nlm.nih.gov/compound/1234
geometries/natoms_42_cid_1235.sdf,42,C17H23NO,1235,https://pubchem.ncbi.nlm.nih.gov/compound/1235
geometries/natoms_84_cid_1236.sdf,84,C36H39N3O6,1236,https://pubchem.ncbi.nlm.nih.gov/compound/1236
geometries/natoms_50_cid_1240.sdf,50,C21H27NO,1240,https://pubchem.ncbi.nlm.nih.gov/compound/1240
geometries/natoms_43_cid_1241.sdf,43,C19H21NO2,1241,https://pubchem.ncbi.nlm.nih.gov/compound/1241
geometries/natoms_36_cid_1242.sdf,36,C16H17NO2,1242,https://pubchem.ncbi.nlm.nih.gov/compound/1242
geometries/natoms_51_cid_1246.sdf,51,C21H25NO4,1246,https://pubchem.ncbi.nlm.nih.gov/compound/1246
