sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,hessian_mre,asymmetry_mae,true_asymmetry_mae,eigval_mae,eigval_mre,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval_mre_eckart,eigval1_mae_eckart,eigval1_mre_eckart,eigval2_mae_eckart,eigval2_mre_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,eigvec_overlap_error,freq_mae_400_4000,freq_mae_400_4000_dataset
21,16,668.1763305664062,1050.235904,9873.8671875,617.11669921875,0.1419786512851715,0.12623807787895203,2.5405561923980713,0.11387952417135239,0.0001493035233579576,0.6449087262153625,1.9533823728561401,6,0,0,0,1,3,0,0,0,1,0,0.0961747722999707,0.2814658592584272,0.02615401006937601,0.018241381064605433,0.22616524673887245,0.8595230480648895,0.9863193797327194,0.9038564933376603,4.510208548933915,367.89520404299594,
22,14,576.45361328125,913.007616,12888.982421875,920.6416625976562,0.04302623122930527,0.08227472752332687,2.5436322689056396,0.079077810049057,7.61206028982997e-05,0.18218305706977844,0.4200763702392578,0,1,0,0,0,0,0,1,0,0,1,0.079069563870684,0.044831777322833236,0.007349467759430461,0.5131574268789654,0.0028166062641242634,0.0590846664256158,0.9858240288314666,0.987030527478157,3.7270269587495495,83.67691196912558,
23,21,1241.5897216796875,1141.158912,12345.275390625,587.8702392578125,0.028874007984995842,0.04828019067645073,1.8339651823043823,0.05027347430586815,1.4226348866941407e-05,0.20669221878051758,3.033460855484009,2,0,0,1,0,0,0,1,0,0,0,0.11025433169700742,0.5109948300247154,0.05985147608325411,1.1009268123447775,0.05705577250775366,12.74819910244058,0.4042713122478965,0.06145589273569781,4.554532420738479,211.8027304127222,
24,16,648.3477172851562,1160.971776,8759.8388671875,547.4899291992188,0.019666152074933052,0.05652794614434242,16.399192810058594,0.063936747610569,2.9000919312238693e-05,0.1907442808151245,0.5223296880722046,3,0,0,0,1,2,0,0,1,0,0,0.05888665393947671,0.20831976306822625,0.19361389450975008,0.8403929554005313,0.13035308686667646,0.9489698529175326,0.8540730439021017,0.7071964250124116,3.0944570801200877,202.7199503082665,
25,25,1962.0167236328125,1412.312576,11401.46875,456.0587463378906,0.0243911724537611,0.03310208395123482,3.3129239082336426,0.033979903906583786,1.2798864190699533e-05,0.19634708762168884,0.8103248476982117,5,0,0,0,1,4,0,0,0,1,0,0.12697817391994268,0.4976660556387135,0.15730540461499432,0.7519949019858114,0.09166788051242195,0.7222526789325058,0.35753672004943116,0.06531350856288687,6.303090360359761,220.5451278341302,
26,23,1594.0894775390625,1652.97152,10564.408203125,459.3221130371094,0.01086402963846922,0.026418786495923996,1.6485499143600464,0.028465503826737404,1.0088457202073187e-05,0.1225617453455925,1.3543614149093628,2,0,0,1,0,1,1,0,0,0,0,0.0635179997044941,0.2568865096336362,0.04654142473476958,0.9879384137853823,0.07687480221811499,10.221793915054109,0.9725595268569666,0.6659901340764537,3.8704187736434617,309.34439757986877,
27,7,326.3255615234375,981.051904,5552.8330078125,793.2619018554688,0.12033522129058838,0.4421459436416626,1.4037339687347412,0.35177677869796753,0.0003042869793716818,1.1055715084075928,2.674023151397705,1,0,1,0,0,1,1,0,0,0,1,0.2859542603696338,0.12121291597406753,0.024777285504893498,0.10989581273811172,0.07808109941650405,0.4687216633715904,0.9813600136547376,0.9754190569560245,1.539078239952284,568.8107579420814,
28,17,729.8989868164062,798.014464,7861.48779296875,462.4404602050781,0.021352680400013924,0.035866815596818924,1.4948407411575317,0.03700773045420647,5.621745003736578e-06,0.1722186654806137,4.002414703369141,1,0,1,0,0,0,0,1,0,0,0,0.04848386413385454,0.15145098830210657,0.09926548904146143,1.3237035945669846,0.06999499768156643,4.0014064457544976,0.8765251282466141,0.889777684012767,1.6320228489998863,367.2095071642968,
29,19,961.6401977539062,1135.616,9828.5888671875,517.2941284179688,0.06902812421321869,0.07245248556137085,2.147996664047241,0.08059713989496231,2.5061377527890727e-05,0.25409942865371704,1.977705717086792,4,0,0,0,1,2,0,0,1,0,0,0.06756391237093078,0.2224023071102524,0.04552820930716134,0.14721381671121528,0.05058840185882587,0.9849941135240399,0.9852625999900804,0.203898248168771,4.298295536904535,267.04075089935463,
30,20,1099.4451904296875,1250.34752,10864.4326171875,543.2216186523438,0.029118096455931664,0.05788859352469444,3.427615165710449,0.06348732113838196,1.71458232216537e-05,0.2204551249742508,1.6540602445602417,6,0,0,0,1,4,0,0,0,1,0,0.09402219255412282,0.2374486826745979,0.13198167460986024,0.5213591897657806,0.061518146742391935,0.48464232712921496,0.2547415562273148,0.29572072193124765,5.8373806671784845,282.1634787179067,
