n_atoms,method,time,memory
6,prediction,29.080575942993164,249.524736
6,autograd,223.44601440429688,319.307264
6,prediction,29.046783447265625,249.524736
6,autograd,224.43930053710938,319.307264
6,prediction,30.02249526977539,249.524736
6,autograd,226.25491333007812,319.307264
6,prediction,29.97657585144043,249.524736
6,autograd,231.7322235107422,319.307264
7,prediction,30.86934471130371,253.04064
7,autograd,263.6226501464844,338.68032
7,prediction,30.077951431274414,253.04064
7,autograd,263.9718322753906,338.68032
7,prediction,30.4138240814209,253.04064
7,autograd,262.5087890625,338.68032
7,prediction,30.072704315185547,253.04064
7,autograd,262.4604187011719,338.68032
7,prediction,30.050304412841797,253.04064
7,autograd,261.3616638183594,338.68032
7,prediction,29.984800338745117,253.04064
7,autograd,258.786376953125,338.68032
7,prediction,30.027551651000977,253.04064
7,autograd,260.6252746582031,338.68032
7,prediction,30.163711547851562,253.04064
7,autograd,261.4763488769531,338.68032
7,prediction,29.94780731201172,253.04064
7,autograd,262.3816833496094,338.68032
7,prediction,29.75948715209961,253.04064
7,autograd,262.50341796875,338.68032
7,prediction,30.111743927001953,253.04064
7,autograd,258.0570068359375,338.68032
7,prediction,29.844512939453125,253.04064
7,autograd,258.2406005859375,338.68032
7,prediction,29.897727966308594,253.04064
7,autograd,258.00787353515625,338.68032
7,prediction,29.81171226501465,253.04064
7,autograd,258.7025451660156,338.68032
7,prediction,30.21004867553711,253.04064
7,autograd,257.03125,338.68032
7,prediction,29.861087799072266,253.04064
7,autograd,257.0364685058594,338.68032
7,prediction,29.445119857788086,253.04064
7,autograd,257.8382568359375,338.68032
7,prediction,29.115392684936523,253.04064
7,autograd,251.89581298828125,338.68032
7,prediction,29.353120803833008,253.04064
7,autograd,252.82467651367188,338.68032
7,prediction,29.455360412597656,253.04064
7,autograd,254.27891540527344,338.68032
7,prediction,29.152095794677734,253.04064
7,autograd,255.55763244628906,338.68032
7,prediction,29.71343994140625,253.04064
7,autograd,256.9912414550781,338.68032
7,prediction,29.910879135131836,253.04064
7,autograd,257.43359375,338.68032
7,prediction,29.237247467041016,253.04064
7,autograd,259.545166015625,338.68032
7,prediction,29.79315185546875,253.04064
7,autograd,256.7290954589844,338.68032
7,prediction,29.551616668701172,253.04064
7,autograd,258.02349853515625,338.68032
7,prediction,29.62505531311035,253.04064
7,autograd,257.3076171875,338.68032
7,prediction,30.241535186767578,253.04064
7,autograd,257.3621520996094,338.68032
7,prediction,29.424480438232422,253.04064
7,autograd,257.1631774902344,338.68032
7,prediction,29.38764762878418,253.04064
7,autograd,294.2282409667969,338.68032
7,prediction,33.90652847290039,253.04064
7,autograd,280.51025390625,338.68032
7,prediction,32.02252960205078,253.04064
7,autograd,273.81787109375,338.68032
7,prediction,32.22934341430664,253.04064
7,autograd,270.0124206542969,338.68032
7,prediction,30.108671188354492,253.04064
7,autograd,263.9441833496094,338.68032
7,prediction,30.075712203979492,253.04064
7,autograd,310.023193359375,338.68032
7,prediction,30.84796714782715,253.04064
7,autograd,278.1584777832031,338.68032
7,prediction,32.5109748840332,253.04064
7,autograd,267.6707458496094,338.68032
7,prediction,30.729215621948242,253.04064
7,autograd,265.9737548828125,338.68032
7,prediction,30.161727905273438,253.04064
7,autograd,268.6708679199219,338.68032
7,prediction,30.156063079833984,253.04064
7,autograd,266.5011291503906,338.68032
7,prediction,30.076927185058594,253.04064
7,autograd,265.5723571777344,338.68032
7,prediction,30.122943878173828,253.04064
7,autograd,264.4449157714844,338.68032
7,prediction,30.214143753051758,253.04064
7,autograd,263.8356628417969,338.68032
7,prediction,29.98886489868164,253.04064
7,autograd,262.5108947753906,338.68032
7,prediction,30.003007888793945,253.04064
7,autograd,271.88031005859375,338.68032
